,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,otsu_ssd,otsu_eng,gaus_ssd,gaus_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\5\\22.jpg'],-20.07,371,,,['474971411111111110111441141111100'],['.'],,,['.'],['31.71111110.11611']
0,['.\\sipaimages\\5\\23.jpg'],8.3,371,1,,14,,111.111141,,,1
0,['.\\sipaimages\\5\\24.jpg'],179.32,371,,,,,1,,,8001444944675.298
0,['.\\sipaimages\\5\\25.jpg'],179.32,371,,,0,,1.2111110041763115e+25,['.'],,649411
0,['.\\sipaimages\\5\\26.jpg'],179.26,371,7,,71111.11,,['11114111611110811111.41.11111117117771172774'],1171,,1
0,['.\\sipaimages\\5\\27.jpg'],179.26,371,62,,,,['1147111111.11111117534411117149.71013.1107'],71,['.'],11
0,['.\\sipaimages\\5\\3.jpg'],10.63,371,11,25,4,,111001111111,0.3,,70
0,['.\\sipaimages\\5\\4.jpg'],10.63,371,,,44434,13,11.010151,,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,371,71,,78,,['100.11111.711'],,,751174
0,['.\\sipaimages\\5\\6.jpg'],10.63,371,74011777,0.3,119147,,['7531141111118214111734'],31771,,6711114.808004889
0,['.\\sipaimages\\5\\7.jpg'],9.3,371,71,1,1,,1111,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,371,,,,,,,['.4.'],14114200010000741
0,['.\\sipaimages\\5\\9.jpg'],6.85,371,0.002011,,798111,,19,,,82244717
0,['.\\sipaimages\\5\\1.jpg'],-7.94,372,1,7,1,,41111411111,,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,372,711542200000.0,['.'],['64400000000...'],['.'],40,,,['400000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,372,1.1,1,77091,,751131154.311411,73,,44
0,['.\\sipaimages\\5\\12.jpg'],10.51,372,,,['02.22.01'],,['0006112177111411111111100111030100008753225'],151.0,['.'],['414711148000000..']
0,['.\\sipaimages\\5\\13.jpg'],10.46,372,14.1,,13331,['.'],1.1111644419777775e+20,['.'],['.4.'],411011111
0,['.\\sipaimages\\5\\14.jpg'],10.46,372,8,,,,['074177777771777411117111141341551111441111'],['.'],,
0,['.\\sipaimages\\5\\15.jpg'],10.69,372,14,,,,77777717,['.........'],,1111141
0,['.\\sipaimages\\5\\16.jpg'],10.14,372,41015111,['.'],11711,3.0,61401000111117,7.0,,['1731110000011311111961404141']
0,['.\\sipaimages\\5\\17.jpg'],10.23,372,44481411,,7411,,,,,1
0,['.\\sipaimages\\5\\18.jpg'],-19.53,372,1.3,,11,,['171111477771111000000024111118031119114111146060401052111'],1717,['..3'],202118061443511.16
0,['.\\sipaimages\\5\\19.jpg'],-18.24,372,17444316611911411,3,['47274.111111100.1791081081611111'],['.'],['11.1811111771111.1831111111441111610421111165111119146131119001001611101'],0.15,8.0,111140040118142.08
0,['.\\sipaimages\\5\\2.jpg'],-7.94,372,1,['.'],11,,1111277775534,,,1474106.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,372,131101.1,1,['794919000.11.59'],['..'],['1113311111704601111411197010441614144175'],,['..4'],417715111001.0669
0,['.\\sipaimages\\5\\21.jpg'],-18.43,372,131,,['1111100814111107116.1108.1121'],118,['51711031141114111101111107100421090011241115'],['31..'],,
0,['.\\sipaimages\\5\\22.jpg'],-20.07,372,,,2.210000010111011e+20,,['81777557000001113110171111644111111552571111379118103111114110491011'],['.2.'],,119115411111
0,['.\\sipaimages\\5\\23.jpg'],8.3,372,1000004,,10.104,,11111111117111111111,['.'],['.'],10
0,['.\\sipaimages\\5\\24.jpg'],179.32,372,,,,,,,['.'],['312673555511024119410110668052504718084215']
0,['.\\sipaimages\\5\\25.jpg'],179.32,372,,,0,,['677777771161614656111163.1.1111.111111110111017'],4,0.4,898461111
0,['.\\sipaimages\\5\\26.jpg'],179.26,372,1.4,,['5111.2.11'],,['11110000606111111.41.1411411511771111773'],,,1
0,['.\\sipaimages\\5\\27.jpg'],179.26,372,18,7,10,,['116141111711111.11.1143471711411141111141131314.71017.1607'],7,['.'],11
0,['.\\sipaimages\\5\\3.jpg'],10.63,372,11,,844464106,,111411.41111,53,,70
0,['.\\sipaimages\\5\\4.jpg'],10.63,372,,,1,44,['1712.1111111.0.7.1111111'],['.'],,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,372,91,,78,,1111,,,
0,['.\\sipaimages\\5\\6.jpg'],10.63,372,441041144771,['..'],10174144,,,,0.3,4291066198.1
0,['.\\sipaimages\\5\\7.jpg'],9.3,372,1,,1,,11.1111,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,372,,,,,,,['..'],140.17411
0,['.\\sipaimages\\5\\9.jpg'],6.85,372,184471000355,,2.4828158646176625e+18,0,11,,,3
0,['.\\sipaimages\\5\\1.jpg'],-7.94,373,41,5,1,,1111415.65,['.'],,
0,['.\\sipaimages\\5\\10.jpg'],10.51,373,278115555510,['.'],['3144000000..'],,111111111511.71,['.'],['...'],['91114114421100..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,373,1.1,0.1,701,,['111161315115524011117772377111151191110001111'],1705,['.'],4810000000
0,['.\\sipaimages\\5\\12.jpg'],10.51,373,,,1,,1777777771181111.0,1,,['171148000000..']
0,['.\\sipaimages\\5\\13.jpg'],10.46,373,14.1,,1173.3381,['.'],12.747777771777612,['....'],,
0,['.\\sipaimages\\5\\14.jpg'],10.46,373,8,,740444,,['11411.117906.7411777777734161111111111111..1111111.014111'],['..........'],,
0,['.\\sipaimages\\5\\15.jpg'],10.69,373,114117,['.'],,,['07313411411118111511131'],1.0,1.0,0.19174
0,['.\\sipaimages\\5\\16.jpg'],10.14,373,1017,1,411.411,['.'],114.11011106,['.'],['.73...'],['111411631651130141125614114161111']
0,['.\\sipaimages\\5\\17.jpg'],10.23,373,1,,2211111,,11111,,,1
0,['.\\sipaimages\\5\\18.jpg'],-19.53,373,2,,1770000,,,,3,['116148846548751011101']
0,['.\\sipaimages\\5\\19.jpg'],-18.24,373,1,,477744111111101.25,,['1111111467774211111.10711110114011411116214111070102117101191651818111.1'],0.113,1.0,1111191
0,['.\\sipaimages\\5\\2.jpg'],-7.94,373,1001,,11,,,,,4065180
0,['.\\sipaimages\\5\\20.jpg'],-20.22,373,11,,10.1781631161005,['.2.775771..'],['17777777747777777171171111170461112241111100191191567157'],4.0,7.0,11176004061
0,['.\\sipaimages\\5\\21.jpg'],-18.43,373,1,,['49517111110105314110711100201188102161'],['....'],1.1143111111111108,['.'],5,8.541117944411841e+21
0,['.\\sipaimages\\5\\22.jpg'],-20.07,373,,,['1780117111111111111101191'],0.0,91175.71994777776,['.....'],,11100010101
0,['.\\sipaimages\\5\\23.jpg'],8.3,373,160,,1,,['11.70811111.7117511'],['.'],,2774111
0,['.\\sipaimages\\5\\24.jpg'],179.32,373,,,,,,,['.'],['88231519116886.417535251214..109380651379621657']
0,['.\\sipaimages\\5\\25.jpg'],179.32,373,,,0,,['7777777711490112408707111101.11.11000.1110117'],201,3,['36800000000166340005448111412113']
0,['.\\sipaimages\\5\\26.jpg'],179.26,373,4,,77777770511.11,,['1411.1111370617111.11.11110111111171091017777'],1,,11
0,['.\\sipaimages\\5\\27.jpg'],179.26,373,18,,10,,['46137747147111111111111401.1110367111184111141114111117140.7101067'],877,,11
0,['.\\sipaimages\\5\\3.jpg'],10.63,373,44,['.'],,,131111111114101111,,,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,373,3,,1111,,1111611410.111114,,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,373,71,,78,,7111131,,['5...4'],['51110411118190886259618867.541.74141.2.11']
0,['.\\sipaimages\\5\\6.jpg'],10.63,373,1,,4119177743,9.0,2111,,0.0,['01160744679734718111774']
0,['.\\sipaimages\\5\\7.jpg'],9.3,373,1,,1,,1.111111,0.1,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,373,,,,,,,['..'],['14608100000011341411100480400000607411']
0,['.\\sipaimages\\5\\9.jpg'],6.85,373,197471004,['.'],788111,,1,,,462247127
0,['.\\sipaimages\\5\\1.jpg'],-7.94,374,9,3,1,,['191....1211765314221'],,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,374,271115555.14,,['95500...'],,['01.41117771000000111114118411111111.1'],['.......21..'],['.'],['11411414000000000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,374,8448.0,,701,,['75551777577111511133'],,,1
0,['.\\sipaimages\\5\\12.jpg'],10.51,374,7,,7,,2111511133775555555,5,,1011
0,['.\\sipaimages\\5\\13.jpg'],10.46,374,14444444,,1.801,,['3124177762171197111114101111'],,0.1,140113
0,['.\\sipaimages\\5\\14.jpg'],10.46,374,3,,7414,['.'],['141111115504177715471571111001111111141143111'],0.34,,111
0,['.\\sipaimages\\5\\15.jpg'],10.69,374,0,,,,7777777770131111,['.'],,161
0,['.\\sipaimages\\5\\16.jpg'],10.14,374,4411,['.'],651931,,3411114111.111111,,23,['15511488874148191121151411491']
0,['.\\sipaimages\\5\\17.jpg'],10.23,374,1,,['5717409110636326011411110111'],,467111112711.0,,73,15114491643
0,['.\\sipaimages\\5\\18.jpg'],-19.53,374,1.3,,101174,['.'],['1191111110111.111.160.111114131001105411'],5.1,['..'],11101417701
0,['.\\sipaimages\\5\\19.jpg'],-18.24,374,1,,47719211111100.11,,177777777.1107411,['4.....'],,['91100.016142.8101111']
0,['.\\sipaimages\\5\\2.jpg'],-7.94,374,1100,,11,,11111111111127741,3,5,9
0,['.\\sipaimages\\5\\20.jpg'],-20.22,374,11111164111118,,71100889471,,['00030011717471104111111101111661411111094115'],7.151,['..4'],['82418864117591871.104.0161']
0,['.\\sipaimages\\5\\21.jpg'],-18.43,374,,,17114.151,,['147.7514191.101111141311111147019001151.9001161713117111'],,,48
0,['.\\sipaimages\\5\\22.jpg'],-20.07,374,,,['147977011111111111110111111198'],['.'],6.11109146777111,157,,1.1
0,['.\\sipaimages\\5\\23.jpg'],8.3,374,111,,1,,['121111111111411111141111414171'],['...27'],4,111
0,['.\\sipaimages\\5\\24.jpg'],179.32,374,,,,,,,2,3083.189525823104
0,['.\\sipaimages\\5\\25.jpg'],179.32,374,,,0,,97211157101.41612,,,748
0,['.\\sipaimages\\5\\26.jpg'],179.26,374,['00..'],,11.11,,['277139411111.11.1143731417711.11.1111114117111177777'],1,,1
0,['.\\sipaimages\\5\\27.jpg'],179.26,374,1,7,10,,['14400111411110306111111111111111.1101.11.11031481111117140.001017.0.7'],['...7'],['.'],11
0,['.\\sipaimages\\5\\3.jpg'],10.63,374,61114,['.'],630022004,5754,['14111111111111111611111141111141'],['...'],,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,374,8308,,111,,['1.111111.4411011144111152449.0'],['.'],,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,374,71,,78,,11.1111103111,,,4000874.1
0,['.\\sipaimages\\5\\6.jpg'],10.63,374,12940554411,,144497,59,911111,['.'],,['2831184.1647546.80001501117300051143757144174111771111077']
0,['.\\sipaimages\\5\\7.jpg'],9.3,374,1,,11,,111,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,374,,,,,,,,111100017411
0,['.\\sipaimages\\5\\9.jpg'],6.85,374,,,14648871000086646,,,,,27.27
0,['.\\sipaimages\\5\\1.jpg'],-7.94,375,19,7,1,,111100121110000000,['.'],,
0,['.\\sipaimages\\5\\10.jpg'],10.51,375,271112220,,['0000000..'],,111101,,1,['0002.1424000000000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,375,4448.0,['.'],22,,1.1111111778111111,['1..'],,1111538
0,['.\\sipaimages\\5\\12.jpg'],10.51,375,1,,1,,510410191,1,4,12.100114
0,['.\\sipaimages\\5\\13.jpg'],10.46,375,14444444,['.'],811,,['7317014..1172366477777777741117611111117014'],,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,375,8,,3146811,,1.1511111155511776e+21,['........4'],,
0,['.\\sipaimages\\5\\15.jpg'],10.69,375,781,,1,,441177775,['.'],['..'],44100000
0,['.\\sipaimages\\5\\16.jpg'],10.14,375,41011519.1,['.'],4011.411,['.'],3701412,,,125
0,['.\\sipaimages\\5\\17.jpg'],10.23,375,1,,11111011171,4,411,1,2.0,1711110000
0,['.\\sipaimages\\5\\18.jpg'],-19.53,375,1.3,7,3444448,,111411711911.11032,1,['.31..'],22111711414
0,['.\\sipaimages\\5\\19.jpg'],-18.24,375,9,9,47709111114001.31,,1.7741111777776112e+24,['......'],3.0,['111137211100001112081011111']
0,['.\\sipaimages\\5\\2.jpg'],-7.94,375,100,5,11,,['777113131141111111111774237'],['..'],,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,375,43,['.'],794.904111,,['177777777131133111111170460111244116314114100110171411044115'],1,0.0,4774610014066
0,['.\\sipaimages\\5\\21.jpg'],-18.43,375,1,,['710101016981414040191030773100711'],['51.......'],['74111411411111111604019161.90025.1317111'],,['.'],8001066117811714
0,['.\\sipaimages\\5\\22.jpg'],-20.07,375,,,['4792141111711111111111111110011111'],3.0,['177111707771111711011111141441421'],1115,0,1131180.11044
0,['.\\sipaimages\\5\\23.jpg'],8.3,375,1614,,17,,11111111111157411,['..'],,111
0,['.\\sipaimages\\5\\24.jpg'],179.32,375,,,,,,,,['1481151844580656860077555829301010620420018857']
0,['.\\sipaimages\\5\\25.jpg'],179.32,375,,,0,,11174114.61,,['.'],141.18
0,['.\\sipaimages\\5\\26.jpg'],179.26,375,47.1,,777772201111.11,,['401111111011111.11.1110771114101773'],['.'],,1
0,['.\\sipaimages\\5\\27.jpg'],179.26,375,18,7,10,,['111441147171141111111.1111411111.11.141111190.91017.3.6.7'],4,['.'],11
0,['.\\sipaimages\\5\\3.jpg'],10.63,375,444,['.'],['000000644..461.1'],,11111115111,1,,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,375,91,['.'],11,5,['10.4115.1119.07111004'],0.1,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,375,71,,78,,131111111941,12,,
0,['.\\sipaimages\\5\\6.jpg'],10.63,375,1,,1774144,,111,,['..'],['0017489000431113.6.08800666708168.7.406070000000071441741116']
0,['.\\sipaimages\\5\\7.jpg'],9.3,375,1,['.'],11,,11115,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,375,,,,,,,['.'],10024417411
0,['.\\sipaimages\\5\\9.jpg'],6.85,375,1467700064,,2734116441111,,,,,700000
0,['.\\sipaimages\\5\\1.jpg'],-7.94,376,198,7,1,,41101180031,['.'],,
0,['.\\sipaimages\\5\\10.jpg'],10.51,376,711580655550,['.'],['0000000..'],2,['77111.71111773777777777711177511103101141111.7777777777752333351'],['......'],1,247400.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,376,408.0,,77101,,['660104487111117111141111310013'],0.1,,3
0,['.\\sipaimages\\5\\12.jpg'],10.51,376,7,['.'],1,,['2125254777477111110011'],0.41,71,12.100111111
0,['.\\sipaimages\\5\\13.jpg'],10.46,376,4442.24111,,11133881,,1517144011111111014,['..'],0.3,110114118
0,['.\\sipaimages\\5\\14.jpg'],10.46,376,7141,['.'],344,,['11111111111550041777777717417111411111317511711111.15111.514111116111111'],['4...'],,11
0,['.\\sipaimages\\5\\15.jpg'],10.69,376,114,0,11,,3441711371111,,['..'],1141000000004
0,['.\\sipaimages\\5\\16.jpg'],10.14,376,44110811511,['.'],1146101,,111111171,1,0.453,1.123111140141002
0,['.\\sipaimages\\5\\17.jpg'],10.23,376,1,,,,100611,,,
0,['.\\sipaimages\\5\\18.jpg'],-19.53,376,1.3,,454,,1110010.000111416,71,['.....7'],['07118644085106511041171051']
0,['.\\sipaimages\\5\\19.jpg'],-18.24,376,9411,,4771444111111100.0,['....'],7.741127111141613e+29,['.....'],['8..'],1614771000112.081
0,['.\\sipaimages\\5\\2.jpg'],-7.94,376,8004,,11,,['112.141111121.111111118111122725'],['..'],,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,376,11497,['.'],91163200600010001,0.0,11711111671111.713,77,1,19
0,['.\\sipaimages\\5\\21.jpg'],-18.43,376,1,,['2301121411.1.040001030011714'],0,['7114114111616001094116259011177'],32531,0.9,['1611115111641611644101111145231711']
0,['.\\sipaimages\\5\\22.jpg'],-20.07,376,,,['00002000017810111111111111111141111040'],,1411677771111.1711,1,0.006,['1111111667617711004611']
0,['.\\sipaimages\\5\\23.jpg'],8.3,376,144,,1104,1,['111111111111111111111'],['.1..'],,110
0,['.\\sipaimages\\5\\24.jpg'],179.32,376,,,,,,,7.7,['41442417775552535302921110012144881001']
0,['.\\sipaimages\\5\\25.jpg'],179.32,376,,,0,,['111777777111.11.1114100177'],,3,['06040000016310116738081244111081']
0,['.\\sipaimages\\5\\26.jpg'],179.26,376,4,,777777770120111.0,,['1414.11.11110611111.51.1111011111110177'],11,,1
0,['.\\sipaimages\\5\\27.jpg'],179.26,376,18,7,411,,['777777781167111111111111111901..11.135171410114841531474534101190.7117.4.77'],11,,11
0,['.\\sipaimages\\5\\3.jpg'],10.63,376,0,,48044,3131015,['1111111111111115111111111'],['..'],,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,376,,,111,,['171111111111111115111101'],,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,376,71,,78,,71,,['.'],7
0,['.\\sipaimages\\5\\6.jpg'],10.63,376,1177,['.'],14774,,311111,,['5...11.'],6.135446216684531e+21
0,['.\\sipaimages\\5\\7.jpg'],9.3,376,8,1,11,,10.1,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,376,,,14218,,4111,,['0.0...'],['2134648393.7111060000.741']
0,['.\\sipaimages\\5\\9.jpg'],6.85,376,,,211,,1111,,,2211
0,['.\\sipaimages\\5\\1.jpg'],-7.94,377,91,,1,,17771006114,,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,377,6417805550,['.'],['00000..'],,441.111,,1,['21112.1444000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,377,1.1,1,77011,,['23660111111021111117111111511171333330'],1.0,['..'],['200.13411140000...']
0,['.\\sipaimages\\5\\12.jpg'],10.51,377,7,,1,,['01411446762441412111111111'],['..5'],1,12.1001141
0,['.\\sipaimages\\5\\13.jpg'],10.46,377,,,,,0.511775111112111,1,0.1,41011101
0,['.\\sipaimages\\5\\14.jpg'],10.46,377,3,,71111,['.'],['1411777757277..7711143141116511111'],0.1,,111
0,['.\\sipaimages\\5\\15.jpg'],10.69,377,70810.1,,11,,1.4411174111111117e+17,['....4'],,44491141000000000
0,['.\\sipaimages\\5\\16.jpg'],10.14,377,1131,['.'],11.4171111,,['06311141711111111111111111'],,,112514446
0,['.\\sipaimages\\5\\17.jpg'],10.23,377,1,,,,110,,0.3,970611
0,['.\\sipaimages\\5\\18.jpg'],-19.53,377,1.3,7,77431,,['117141000111111171414101'],,['...90'],['0221581615544400100106']
0,['.\\sipaimages\\5\\19.jpg'],-18.24,377,44411384111,['...'],['47721118.11111100.710081611114'],['.......'],1.1187411111146112e+30,['1...4'],4,['18131100.016859011025..0816111']
0,['.\\sipaimages\\5\\2.jpg'],-7.94,377,0,3,11,,1144111111111.111,['..'],,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,377,11111414110711,77.0,98042380075573,5525,1141.7177777111115,3,0.09,4514041688009.06
0,['.\\sipaimages\\5\\21.jpg'],-18.43,377,1,,7.101111214141991e+18,['11.......'],4.189116777777772e+41,['7.........'],,111
0,['.\\sipaimages\\5\\22.jpg'],-20.07,377,,,1100.111111711114,['.'],['7755555510..13.1111107111110711111111171116114116404102116'],0.113111213,,1110116
0,['.\\sipaimages\\5\\23.jpg'],8.3,377,140,,104,,['114.71111711111.111110161111111'],,,1101
0,['.\\sipaimages\\5\\24.jpg'],179.32,377,,,,,101441,['.'],,132725389.35662992
0,['.\\sipaimages\\5\\25.jpg'],179.32,377,,,0,,['101100036611111.4.1.110000611111210001001177'],11117,1,88.06614111806
0,['.\\sipaimages\\5\\26.jpg'],179.26,377,5,,['77777774911.2.11'],,['7474777110000111111111.11.11112111111777'],2,,1
0,['.\\sipaimages\\5\\27.jpg'],179.26,377,18,,164,,['77777710111111111411.011441.771447111901011119441414111140.7119.61477'],['..7'],,11
0,['.\\sipaimages\\5\\3.jpg'],10.63,377,11,,,,11111011111111211,,,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,377,,,3744,,['01711111.1111110114.11111110'],['.'],,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,377,71,,78,,,,,
0,['.\\sipaimages\\5\\6.jpg'],10.63,377,48541111,['.'],6114000,9,2111,,,['0364978658061457065646647771741414411']
0,['.\\sipaimages\\5\\7.jpg'],9.3,377,8,1,11,,111,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,377,,,142,,1.1,,['1...'],['90011853111811100741']
0,['.\\sipaimages\\5\\9.jpg'],6.85,377,,,6068006611,,1111,,,70000000
0,['.\\sipaimages\\5\\1.jpg'],-7.94,378,9,3,1,,11.711111,,,
0,['.\\sipaimages\\5\\10.jpg'],10.51,378,227415422200880,,['0000000..'],,4121.712204622414,1.15,1,['1002.1430000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,378,41,,7,,['111.1..111111770111113411111111110061'],['.'],,11
0,['.\\sipaimages\\5\\12.jpg'],10.51,378,,,1,,['117777771413715417711111151112115'],['.1..'],,12.10014
0,['.\\sipaimages\\5\\13.jpg'],10.46,378,14404142,,11,,7.111111111736626e+18,['.1.11'],,84400000000
0,['.\\sipaimages\\5\\14.jpg'],10.46,378,3,,341,['.'],['2141117487741777777171.771411111753171111101414.11111.111111'],0.5,,111
0,['.\\sipaimages\\5\\15.jpg'],10.69,378,0,,511131,,441111402011111111,['..'],,1411111
0,['.\\sipaimages\\5\\16.jpg'],10.14,378,14101015411,,10171,,['84411111111011711111'],['1111..'],['.'],144485000651341.7
0,['.\\sipaimages\\5\\17.jpg'],10.23,378,1,,7741111771977777117,4,101111711170111,['.......'],0.3,5447771473
0,['.\\sipaimages\\5\\18.jpg'],-19.53,378,1.3,,177177,,['4171111411111001042141'],,['.'],1179410186615117811
0,['.\\sipaimages\\5\\19.jpg'],-18.24,378,,,4771111141111101.0,1,['00611111111301101144170411111146111111741165591153271620051024117101102711167'],37,0,['1.5111004.066822.08101']
0,['.\\sipaimages\\5\\2.jpg'],-7.94,378,1,,11,,['11141111111117111111111000000030'],0.1,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,378,117841010,['3..'],['1111161811274101011114894011'],['.30.'],['14777771111.31.73111111170466111141111040197715114157'],['.'],['...'],['741.119116110011.066']
0,['.\\sipaimages\\5\\21.jpg'],-18.43,378,31,,['131110112141141900001'],0.4,1.1111171113111172e+24,['....'],,111111.91111611112
0,['.\\sipaimages\\5\\22.jpg'],-20.07,378,,,['4784477161111101141079'],['..1'],['0088413.1111.30071111111111541111171116'],713,,111711.1
0,['.\\sipaimages\\5\\23.jpg'],8.3,378,146,,114,,['111111111111111118111'],['...'],,2771101
0,['.\\sipaimages\\5\\24.jpg'],179.32,378,,,,,,,12,['88886812535225181114068062487682805511']
0,['.\\sipaimages\\5\\25.jpg'],179.32,378,,,0,,['1154431777177771110.1111.11110011001477'],117,['...3'],['1186480020180126180.524745006710085554080446031.1181131']
0,['.\\sipaimages\\5\\26.jpg'],179.26,378,6,,336601.11,,['1114774115414.16.1101111.41.11161117117777777711177'],['.'],,78410
0,['.\\sipaimages\\5\\27.jpg'],179.26,378,1,7,1,,7.771714711714011e+37,7,,11
0,['.\\sipaimages\\5\\3.jpg'],10.63,378,0,,63220014,1355,['177111111111111101111'],,,11
0,['.\\sipaimages\\5\\4.jpg'],10.63,378,,,2000111,51,11111110011111181111,['.'],,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,378,71,,78,,111111.11114111113,111,7.0,6301064774000021.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,378,77,,19000263,95,['11111111311.24.114'],,['.'],1.12419364811115e+21
0,['.\\sipaimages\\5\\7.jpg'],9.3,378,8,1,11,5,1611146161441414,['.'],,
0,['.\\sipaimages\\5\\8.jpg'],9.3,378,,,11,,,,['.'],111141017401
0,['.\\sipaimages\\5\\9.jpg'],6.85,378,,,289446000175142211,,111,,,842211
0,['.\\sipaimages\\5\\1.jpg'],-7.94,379,198,7,1,,11111111111.1111,['...'],,
0,['.\\sipaimages\\5\\10.jpg'],10.51,379,27417422200000.0,['.'],['00000000..'],2,['42117111747777777777111141191017110101'],0,,['11142400000..']
0,['.\\sipaimages\\5\\11.jpg'],10.51,379,1.1,1,77101,,['119111417711.7.65211'],,,1
0,['.\\sipaimages\\5\\12.jpg'],10.51,379,,,1,,6.017275730772711e+25,['.'],4,10.1004101
0,['.\\sipaimages\\5\\13.jpg'],10.46,379,,,183331,,1111451111141011101,,['.'],161181111700000000
0,['.\\sipaimages\\5\\14.jpg'],10.46,379,3,,70141,,1.1110111594162174e+53,0.11,,11
0,['.\\sipaimages\\5\\15.jpg'],10.69,379,81,,11,,777777141.141111,['........'],,2341141100.0
0,['.\\sipaimages\\5\\16.jpg'],10.14,379,18154111,['.'],211,['.'],['0006740011114111111181101'],['.'],,416514
0,['.\\sipaimages\\5\\17.jpg'],10.23,379,1,1,,,11171431,,,1
0,['.\\sipaimages\\5\\18.jpg'],-19.53,379,1.3,,11174,['.'],['11111111116711413111171011'],0.0,0.55,['11111117016665806101841141010161316']
0,['.\\sipaimages\\5\\19.jpg'],-18.24,379,11744011111111,,4774114114100171.0,['.'],1.91717777777715e+67,0.7,['..'],1.1990114600114112e+16
0,['.\\sipaimages\\5\\2.jpg'],-7.94,379,1000,,11,,11111.4111000011,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,379,1116101,4,49113880008120.05,['.'],['771111.313711111.111111701601141111190101716'],0.1,['...7951'],8.084177970111115e+18
0,['.\\sipaimages\\5\\21.jpg'],-18.43,379,31,,['1010108141141100731007111'],178,['11111124115355531220071102211900000214177'],0.2,,
0,['.\\sipaimages\\5\\22.jpg'],-20.07,379,,,['00002310114117111111110114'],0.1,['51441111117777731.7.7100000101114061111.71111117777573911116160910511'],['...77111133.'],['.'],11714.4111110617
0,['.\\sipaimages\\5\\23.jpg'],8.3,379,1444,,17,,1.1111111181174112e+22,['.'],,146111611199
0,['.\\sipaimages\\5\\24.jpg'],179.32,379,,,,,,,2,['17174811974596248611484009111']
0,['.\\sipaimages\\5\\25.jpg'],179.32,379,,,0,,['411777.777718771777771161041.911.61111611714157111.51.111177'],['.'],34,111441.11181
0,['.\\sipaimages\\5\\26.jpg'],179.26,379,98,,1777211.11,,['118179111114.11.111701717114.51.6111117414427777'],['.'],,1
0,['.\\sipaimages\\5\\27.jpg'],179.26,379,18,,,,1.1441411117111112e+32,['.'],,11
0,['.\\sipaimages\\5\\3.jpg'],10.63,379,44,,,,['11111111117.5.411111'],['..'],,70
0,['.\\sipaimages\\5\\4.jpg'],10.63,379,,,4334,,111011111111.11,,,111
0,['.\\sipaimages\\5\\5.jpg'],10.63,379,91177771,,78,,31141111111,,,
0,['.\\sipaimages\\5\\6.jpg'],10.63,379,1,,1,,11111,,424,['08231161880265441400775477711313084111111774']
0,['.\\sipaimages\\5\\7.jpg'],9.3,379,1,,11,,11111,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,379,,,459,,,,['..'],['2608884.9504.111411119007411']
0,['.\\sipaimages\\5\\9.jpg'],6.85,379,,,55985777811,,1111111,,,700001
0,['.\\sipaimages\\5\\1.jpg'],-7.94,380,91,3,1,,['11161241111.71.9327'],['4..'],,
0,['.\\sipaimages\\5\\10.jpg'],10.51,380,27425555.1,,411400.0,,['111.11.117747172113777777777771111444115731111117022117777777777555333555044'],['..41'],1.0,['002.144400..']
