,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,otsu_ssd,otsu_eng,gaus_ssd,gaus_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\5\\2.jpg'],-7.94,54,11,,,,5,,,11.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,54,111,,11,,911,7,,0.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,54,,,1,,91,,,4177.0
0,['.\\sipaimages\\5\\22.jpg'],-20.07,54,,,1,,,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,54,1,,['1..'],,311,3,,4.0
0,['.\\sipaimages\\5\\24.jpg'],179.32,54,,,,,,,,1.0
0,['.\\sipaimages\\5\\25.jpg'],179.32,54,,,,,1,,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,54,,,,,118,75,,11.0
0,['.\\sipaimages\\5\\27.jpg'],179.26,54,10,,10,['.'],2,,['.'],11.0
0,['.\\sipaimages\\5\\3.jpg'],10.63,54,,,,,9,,,7.0
0,['.\\sipaimages\\5\\4.jpg'],10.63,54,,,,,,,,
0,['.\\sipaimages\\5\\5.jpg'],10.63,54,4,,781,,391,,,81.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,54,1,,1,,113.1,,,3.0
0,['.\\sipaimages\\5\\7.jpg'],9.3,54,7,,1,,21,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,54,,,,,,,['.'],1.0
0,['.\\sipaimages\\5\\9.jpg'],6.85,54,,,,,,,,
0,['.\\sipaimages\\5\\1.jpg'],-7.94,55,41,,1,,3,,,11.0
0,['.\\sipaimages\\5\\10.jpg'],10.51,55,12704.0,,1,1,22611,,,241.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,55,111111,,,,55510,1,,44.0
0,['.\\sipaimages\\5\\12.jpg'],10.51,55,1,,7,,,,1,717.0
0,['.\\sipaimages\\5\\13.jpg'],10.46,55,7,,,,,,['..'],11.0
0,['.\\sipaimages\\5\\14.jpg'],10.46,55,7,,1,,21109.1,,['.'],771.0
0,['.\\sipaimages\\5\\15.jpg'],10.69,55,9,['.'],,,3048.1,,,77.0
0,['.\\sipaimages\\5\\16.jpg'],10.14,55,1,1,1,,33711811,,,1.0
0,['.\\sipaimages\\5\\17.jpg'],10.23,55,177,1,,,714211,,,10.0
0,['.\\sipaimages\\5\\18.jpg'],-19.53,55,198,,,,15,,,1.0
0,['.\\sipaimages\\5\\19.jpg'],-18.24,55,,,1,1,912711,,,14.0
0,['.\\sipaimages\\5\\2.jpg'],-7.94,55,11,,,,128,,,11.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,55,171,,111,,911,,,4.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,55,17.1,,7,,221,,,4.0
0,['.\\sipaimages\\5\\22.jpg'],-20.07,55,,,161,,,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,55,7,3,11,,7131,,,10.0
0,['.\\sipaimages\\5\\24.jpg'],179.32,55,,,,,1116,,,1.0
0,['.\\sipaimages\\5\\25.jpg'],179.32,55,,,,,168571,,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,55,,,,,1,,,11.0
0,['.\\sipaimages\\5\\27.jpg'],179.26,55,1,,11,,75,,['.'],11.0
0,['.\\sipaimages\\5\\3.jpg'],10.63,55,,,,,55,,,70.0
0,['.\\sipaimages\\5\\4.jpg'],10.63,55,,,,,,,,11.0
0,['.\\sipaimages\\5\\5.jpg'],10.63,55,7,,1611,,,,,11.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,55,1,,1,,7531,,,
0,['.\\sipaimages\\5\\7.jpg'],9.3,55,1,,11,,,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,55,,,,,,,,0.0
0,['.\\sipaimages\\5\\9.jpg'],6.85,55,,,,,7,,,
0,['.\\sipaimages\\5\\1.jpg'],-7.94,56,1,,1,,21,,,1.0
0,['.\\sipaimages\\5\\10.jpg'],10.51,56,14.0,,11,,8555308,,,
0,['.\\sipaimages\\5\\11.jpg'],10.51,56,111111,1,,,3018811341,2,,4.0
0,['.\\sipaimages\\5\\12.jpg'],10.51,56,,,,,,,1,7.0
0,['.\\sipaimages\\5\\13.jpg'],10.46,56,,,,,70.1,,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,56,7,,1,,410.1,,,771.0
0,['.\\sipaimages\\5\\15.jpg'],10.69,56,2,,7,,9.1,,,7.0
0,['.\\sipaimages\\5\\16.jpg'],10.14,56,7,1,,,39880.1,,,1.1
0,['.\\sipaimages\\5\\17.jpg'],10.23,56,17,['.'],11,,,,,1.0
0,['.\\sipaimages\\5\\18.jpg'],-19.53,56,18,,,,121,,,1.0
0,['.\\sipaimages\\5\\19.jpg'],-18.24,56,,,11,,,,,13.0
0,['.\\sipaimages\\5\\2.jpg'],-7.94,56,11,,,,7703,,,11.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,56,111,,11,,,,,4.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,56,,,1,,21,,,4.0
0,['.\\sipaimages\\5\\22.jpg'],-20.07,56,,,11,,,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,56,1174,,11,,221,4,,12.0
0,['.\\sipaimages\\5\\24.jpg'],179.32,56,,,,,,,,1.0
0,['.\\sipaimages\\5\\25.jpg'],179.32,56,,,,,7111,7,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,56,,,,,8,,,1.0
0,['.\\sipaimages\\5\\27.jpg'],179.26,56,11,,10,,110277,,['.'],11.0
0,['.\\sipaimages\\5\\3.jpg'],10.63,56,,,,,77,,,7.0
0,['.\\sipaimages\\5\\4.jpg'],10.63,56,,,,,,,,111.0
0,['.\\sipaimages\\5\\5.jpg'],10.63,56,41,,81,,,,,81.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,56,8,,1,,1011,,,1.0
0,['.\\sipaimages\\5\\7.jpg'],9.3,56,1,,11,,1,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,56,,,,,,,,0.0
0,['.\\sipaimages\\5\\9.jpg'],6.85,56,,,,,,,,
