image_file,closing_ssd_equal_count,closing_ssd_not_equal_count,closing_eng_equal_count,closing_eng_not_equal_count,mro_ssd_equal_count,mro_ssd_not_equal_count,mro_eng_equal_count,mro_eng_not_equal_count
./sipaimages/2/42537_20220504111652.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/42539_20220504111717.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/42539_20220504111812.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/42541_20220504111842.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/42541_20220504111857.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/42543_20220505082357.jpg,0,700,0,700,25,675,1,699
./sipaimages/2/42545_20220505082601.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/42547_20220504112915.jpg,0,700,0,700,105,595,0,700
./sipaimages/2/42549_20220504112947.jpg,0,700,0,700,4,696,0,700
./sipaimages/2/42549_20220504113120.jpg,0,700,0,700,59,641,0,700
./sipaimages/2/42551_20220504113256.jpg,0,700,0,700,48,652,0,700
./sipaimages/2/42553_20220504113419.jpg,0,700,0,700,175,525,0,700
./sipaimages/2/42553_20220504113437.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/42555_20220504130248.jpg,0,700,0,700,76,624,0,700
./sipaimages/2/42557_20220504130417.jpg,0,700,0,700,59,641,0,700
./sipaimages/2/42559_20220504130530.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/42563_20220504151622.jpg,0,700,0,700,262,438,1,699
./sipaimages/2/42569_20220506135958.jpg,0,700,0,700,318,382,8,692
./sipaimages/2/42571_20220506140037.jpg,0,700,0,700,182,518,16,684
./sipaimages/2/42573_20220506140241.jpg,0,700,0,700,521,179,20,680
./sipaimages/2/42575_20220506140321.jpg,0,700,0,700,305,395,21,679
./sipaimages/2/42577_20220506140349.jpg,0,700,0,700,199,501,17,683
./sipaimages/2/42583_20220506140613.jpg,0,700,0,700,569,131,37,663
./sipaimages/2/42585_20220506140705.jpg,0,700,0,700,471,229,86,614
./sipaimages/2/42596_20220506141103.jpg,0,700,0,700,211,489,21,679
./sipaimages/2/42597_20220506141125.jpg,0,700,0,700,427,273,15,685
./sipaimages/2/42598_20220506141152.jpg,0,700,0,700,218,482,34,666
./sipaimages/2/42617_20220506141718.jpg,0,700,0,700,268,432,0,700
./sipaimages/2/42618_20220506141745.jpg,0,700,0,700,360,340,8,692
./sipaimages/2/42619_20220506142415.jpg,0,700,0,700,206,494,0,700
./sipaimages/2/42620_20220506142444.jpg,0,700,0,700,405,295,0,700
./sipaimages/2/42621_20220506142843.jpg,0,700,0,700,469,231,0,700
./sipaimages/2/42622_20220506142904.jpg,0,700,0,700,208,492,0,700
./sipaimages/2/42623_20220506143026.jpg,0,700,0,700,214,486,0,700
./sipaimages/2/42624_20220506143053.jpg,0,700,0,700,515,185,15,685
./sipaimages/2/42638_20220506144311.jpg,0,700,0,700,140,560,0,700
./sipaimages/2/42639_20220506144337.jpg,0,700,0,700,244,456,0,700
./sipaimages/2/42659_20220506144641.jpg,0,700,0,700,313,387,0,700
./sipaimages/2/42659_20220506144717.jpg,0,700,0,700,447,253,0,700
./sipaimages/2/42660_20220506144810.jpg,0,700,0,700,286,414,0,700
./sipaimages/2/42661_20220506144828.jpg,0,700,0,700,346,354,0,700
./sipaimages/2/42662_20220506145637.jpg,0,700,0,700,123,577,0,700
./sipaimages/2/42933_20220509082757.jpg,0,700,0,700,318,382,21,679
./sipaimages/2/42935_20220509082824.jpg,0,700,0,700,609,91,22,678
./sipaimages/2/5.jpg,0,700,0,700,382,318,31,669
./sipaimages/2/6.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/7.jpg,0,700,0,700,0,700,0,700
./sipaimages/2/8.jpg,0,700,0,700,300,400,0,700
./sipaimages/2/9.jpg,0,700,0,700,454,246,159,541
